"","GROCERY"
"1",13312.58
"2",12439.64
"3",11315.14
"4",13436.28
"5",14436.96
"6",18235.15
"7",20202.15
"8",13507.71
"9",12773.9
"10",11646.39
"11",12135.31
"12",15186.36
"13",19374.78
"14",17477.72
"15",13436.25
"16",11258.34
"17",10819.17
"18",13085.87
"19",13718.71
"20",19827.94
"21",14901.51
"22",13750.5
"23",11812.75
"24",11832.96
"25",13389.8
"26",13024.98
"27",17164.43
"28",19570.94
"29",13798.79
"30",11467.92
"31",11871.21
"32",14141.39
"33",16015.7
"34",20300.36
"35",16001.44
"36",15417.99
"37",11110.47
"38",12947.43
"39",12525.81
"40",12720.49
"41",17040.85
"42",17686.16
"43",12532.2
"44",10627.97
"45",11006.68
"46",12469.67
"47",15213.46
"48",17401.46
"49",16081.33
"50",10994.87
"51",11378.86
"52",11098.63
"53",14346.59
"54",15352.75
"55",19732.19
"56",17028.52
"57",13105.56
"58",12918.47
"59",11488.22
"60",12787.56
"61",13959.93
"62",17264.09
"63",16996.43
"64",13004.22
"65",11121.51
"66",10506.08
"67",14549.34
"68",15190.91
"69",16681.2
"70",17928.43
"71",14200.71
"72",13249.92
"73",17665.59
"74",15471.04
"75",13083.18
"76",13533.94
"77",14149.12
"78",12810.63
"79",11425.05
"80",10861.12
"81",13166.71
"82",14051.86
"83",16735.77
"84",17517.46
"85",11863.12
"86",11495.75
"87",11394.32
"88",13855.54
"89",14863.32
"90",16504.82
"91",15288.36
"92",11634.9
"93",10536.41
"94",9581.4
"95",14894.24
"96",13300.74
"97",18091.88
"98",15376.28
"99",12683.89
"100",11357.05
"101",11101.9
"102",12389.08
"103",12311.77
"104",16752.08
"105",12300.35
"106",11147.11
"107",10733.02
"108",13240.79
"109",12225.45
"110",15209.75
"111",15073.48
"112",11558.51
"113",11313.29
"114",10106.7
"115",13444.34
"116",16972.54
"117",16387.77
"118",13128.44
"119",12652.91
"120",10352.03
"121",13809.76
"122",13821.74
"123",17068.97
"124",17126.76
"125",13611.69
"126",13328.23
"127",12528.61
"128",13776.1
"129",15201.21
"130",19168.24
"131",14746.16
"132",15067.25
"133",13066.64
"134",12845.9
"135",12557.05
"136",13590.15
"137",17841.27
"138",17646.98
"139",12753.58
"140",11378.9
"141",11017.13
"142",13287.2
"143",14298.38
"144",17806.63
"145",18937.44
"146",12365.41
"147",11396.11
"148",10862.04
"149",12252.76
"150",13621.57
"151",18467.1
"152",18120.31
"153",12616.27
"154",10948.41
"155",11094.94
"156",11869.57
"157",13349.64
"158",18609.41
"159",17819.73
"160",10998.65
"161",11313.03
"162",11352.58
"163",12069.95
"164",12300.73
"165",17251.84
"166",17850.27
"167",12365.18
"168",11034.6
"169",9475.3
"170",12305.93
"171",13225.63
"172",17264.46
"173",16022.17
"174",14071.88
"175",12267.21
"176",10650.67
"177",11583.04
"178",13020.87
"179",18436.09
"180",18867.42
"181",12690.38
"182",10873.45
"183",11219.4
"184",11677.82
"185",12766.29
"186",17331.1
"187",19400.14
"188",11889.24
"189",12117.58
"190",18491.02
"191",12802.5
"192",11122.01
"193",9831.65
"194",12563.38
"195",13677.47
"196",18640.37
"197",17049.47
"198",14092.18
"199",12889.49
"200",11358.31
"201",14550.73
"202",18731.7
"203",20495.69
"204",13658.1
"205",11594.69
"206",10145.33
"207",13410.8
"208",14686.12
"209",20847.01
"210",22390.23
"211",16994.29
"212",19013.11
"213",22210.65
"214",8844.34
"215",8507.31
"216",13257.64
"217",16398.72
"218",12287.6
"219",11394.78
"220",11259.4
"221",14108.96
"222",16688.66
"223",18901.08
"224",21504.26
"225",14308.8
"226",13705.06
"227",12045.27
"228",12760.41
"229",15167.62
"230",19621.03
"231",21693
"232",14121.86
"233",13005.48
"234",11898.21
"235",14915.49
"236",15406.86
"237",23456.72
"238",23386.51
"239",25004.5
"240",21633.89
"241",9514.82
"242",12634.98
"243",14992.68
"244",16274.28
"245",14541.95
"246",20559.46
"247",9075.59
"248",13074.33
"249",15046.14
"250",18647.92
"251",20351.73
"252",12625.61
"253",13041.72
"254",11833.6
"255",13960.9
"256",17548.93
"257",23696
"258",21332.43
"259",13866.36
"260",12801.64
"261",11428.63
"262",15349.2
"263",15065.27
"264",22671.93
"265",19100.93
"266",15761.46
"267",12787.82
"268",13314.02
"269",13917.67
"270",15909.69
"271",22590.18
"272",22056.05
"273",13717
"274",12385.6
"275",11736.82
"276",12659.61
"277",12773.95
"278",17856.81
"279",19992.28
"280",13214.47
"281",11170.66
"282",11049.66
"283",13527.44
"284",15579.72
"285",20165.42
"286",20680.55
"287",14923.04
"288",13064.26
"289",12348.69
"290",13204.75
"291",13017.92
"292",19112.39
"293",17909.03
"294",13027.4
"295",11983.15
"296",10405.68
"297",12540.66
"298",14354.81
"299",20456.26
"300",19789.75
"301",12555.93
"302",11581.05
"303",11136.97
"304",12109.94
"305",12635.86
"306",18092.04
"307",18985.48
"308",13785.75
"309",10639.93
"310",12904
"311",12320.48
"312",18464.2
"313",20844.14
"314",12406.67
"315",11028.64
"316",10057.88
"317",14091.96
"318",14452.58
"319",20419.92
"320",18597.67
"321",12334.99
"322",12311.41
"323",11023.09
"324",15163.93
"325",14382.73
"326",21617.49
"327",20741.54
"328",14036.58
"329",13893.6
"330",13886.64
"331",14355.38
"332",20352.46
"333",23389.99
"334",7735.67
"335",8760.62
"336",9612.53
"337",9272.42
"338",11032.56
"339",13945.72
"340",19951.18
"341",18212.29
"342",13968.6
"343",13716.18
"344",11448.89
"345",13119.65
"346",12671.14
"347",20157.67
"348",12129.49
"349",11458.3
"350",11253.13
"351",16080.95
"352",14997.87
"353",20644.27
"354",19644.4
"355",13835.28
"356",12781.84
"357",10679.66
"358",14180.84
"359",13261.98
"360",18503.13
"361",20122.45
"362",13141.54
"363",12763.46
"364",12118.11
