sales,gdp
56.7,11230.1
62.6,11370.7
62.5,11625.1
74.5,11816.8
64.8,11988.4
69.7,12181.4
68.5,12367.7
82.2,12562.2
70,12813.7
75.9,12974.1
74.6,13205.4
88.4,13381.6
78.8,13648.9
84.5,13799.8
83.5,13908.5
98.1,14066.4
85.4,14233.2
92,14422.3
90.9,14569.7
106.3,14685.3
94.1,14668.4
101.6,14813
97.6,14843
108,14549.9
93.5,14383.9
100.1,14340.4
98.7,14384.1
112.8,14566.5
99.1,14681.1
103,14888.6
101.2,15057.7
115.6,15230.2
103.4,15238.4
108.6,15460.9
109.5,15587.1
122.3,15785.3
112.3,15973.9
113.5,16121.9
113.2,16227.9
127.1,16297.3
113.3,16475.4
116.1,16541.4
114.9,16749.3
128.8,16999.9
114.2,17025.2
119.3,17285.6
118.1,17569.4
130.7,17692.2
114,17783.6
119.3,17998.3
116.6,18141.9
128.7,18222.8
